"geluid","breedte","gewicht","hoogte","humiditeit","lengte","materie","temperatuur","textuur","vorm","V1","V2"
1,4.77777777777778,4.44444444444444,2.55555555555556,2.88888888888889,5,5.66666666666667,5.77777777777778,8.88888888888889,3.77777777777778,-0.860734134388082,-2.60712947355985
2,3.66666666666667,3.33333333333333,5,2.33333333333333,4.33333333333333,7.33333333333333,3,8.33333333333333,5.66666666666667,-4.99991897908885,2.42098911775153
3,5.5,4.375,5.25,2.875,4.5,4.375,5.375,5.625,4.75,-0.147886312935586,0.723073554506017
4,6.2,4,4.7,5.9,7.4,4.9,4,4.4,4.9,5.44125723701356,1.24885046645484
5,4.875,4.375,4.75,5.25,4.875,5.75,6.125,6.5,5.625,-3.28173787793933,2.11924839917345
6,3.44444444444444,2.66666666666667,4.55555555555556,3.55555555555556,4.22222222222222,6.22222222222222,3.66666666666667,6.44444444444444,5.11111111111111,-2.85557391656115,-3.61883159727274
7,5.5,7.16666666666667,7.33333333333333,5.33333333333333,6.5,7.16666666666667,4,7.16666666666667,7.83333333333333,-0.619522038626309,0.60628937316332
8,5,3.6,4.4,6.6,5.2,3.8,6,5.6,2.6,3.49209396079869,-2.85972175543542
9,3.42857142857143,6.28571428571429,3.42857142857143,1.71428571428571,4.14285714285714,7.28571428571429,4.57142857142857,5,3.14285714285714,-2.63508851572186,-1.3561578253503
10,2.9,4.6,4.3,7.5,3.7,5.6,5.4,3.4,2.8,2.80777124891033,2.21403300608185
11,3.75,3.75,4.25,3.5,3,4.5,3.75,7.75,6.75,1.80541014450131,-2.48422818217557
12,3.6,3.6,5.2,2.2,3.2,7.4,3,3.2,4.8,1.19543878545545,0.795231857173826
13,5.45454545454545,3.54545454545455,5.63636363636364,4.18181818181818,5.09090909090909,4.54545454545455,4.27272727272727,3.09090909090909,2.54545454545455,-3.43262746187378,-0.304206818615371
14,6.57142857142857,6.71428571428571,3.57142857142857,3.42857142857143,7.71428571428571,5,6.14285714285714,5.71428571428571,4.71428571428571,-4.8831793105685,2.52603725172605
15,4.25,3.25,4.5,4,4.75,4.5,4.25,7.375,6.125,1.25970783592078,-0.837646162973032
16,5.36363636363636,7.81818181818182,5.18181818181818,3.09090909090909,5.09090909090909,8.63636363636364,4,3.90909090909091,6.72727272727273,4.42553706058346,-1.40255798266857
17,5,4.2,4.4,5,4.4,6.8,5.8,6.8,3,-1.44342572531419,1.52285272114797
18,3.44444444444444,4.11111111111111,3.88888888888889,2.66666666666667,5,8.33333333333333,3.77777777777778,6.55555555555556,3.11111111111111,5.54389299308365,0.0637367268371662
19,6,6.66666666666667,4.55555555555556,3.55555555555556,5.55555555555556,7.66666666666667,3.33333333333333,6.88888888888889,5.44444444444444,2.11245594701307,0.673495393199496
20,5.5,4.4,4.6,6.1,4.7,4.9,4.6,6,4.6,0.808322226364053,1.57543957100481
21,2.33333333333333,4.33333333333333,5.33333333333333,5.66666666666667,4.66666666666667,6.33333333333333,5.33333333333333,4,3.66666666666667,0.874432377100388,-1.29774702192781
22,4.875,3.875,4.875,3.75,6.25,6.875,3.625,7.375,5.875,5.19759634310283,0.629714966082165
23,3.5,5,7.5,2.75,7.5,7.25,2.5,4.5,7.75,-2.07209474731172,0.820661912853934
24,4.75,2.25,4.25,3.375,5.75,3.5,4.375,6,5.75,-1.29144664569553,3.61447488651847
25,2.83333333333333,3.83333333333333,5.5,2.66666666666667,4.33333333333333,7.83333333333333,3,3.16666666666667,8.16666666666667,-1.96107919319408,1.74905948686903
26,4.25,4.25,6,2.25,4.5,6.5,4.25,6,4.75,-0.849828743364347,3.08541813372618
27,2.7,2.5,4.2,2.8,4.3,6.2,3.6,6.9,6.3,2.32613059808552,-0.360278572493083
28,4.75,5,4.5,4.125,4.5,6.875,4.125,7,5.75,4.43202013863571,0.443639610506084
29,3.45454545454545,4,4.45454545454545,3.36363636363636,3.63636363636364,7.63636363636364,3.18181818181818,3.90909090909091,6.54545454545455,-1.78293768941326,-3.29223064453779
30,3.33333333333333,2.88888888888889,2.88888888888889,3.66666666666667,3.66666666666667,4.77777777777778,4.66666666666667,5.33333333333333,2,-0.464757705570055,-0.805404613372637
31,4.16666666666667,2.83333333333333,4.83333333333333,3.66666666666667,5.08333333333333,3.75,4.41666666666667,4.91666666666667,4.91666666666667,-5.54981229625723,-0.111276752340272
32,3.25,2.25,4.625,4.25,4,5.625,5.125,6.375,3.5,3.55549787351332,-0.948119338873968
33,5.77777777777778,2.88888888888889,5.11111111111111,3,6.33333333333333,7.11111111111111,4,5.44444444444444,4.44444444444444,0.366075851180734,-1.26580715471946
34,3.16666666666667,5.16666666666667,3.33333333333333,4,5.66666666666667,7.5,4,4.33333333333333,6.16666666666667,-4.4756073054638,-0.409357502621219
35,6.75,6,3.5,3.75,5.5,6.5,6,8,3.25,-2.02938304918328,-3.81024074788026
36,4.66666666666667,3.5,3.66666666666667,3.66666666666667,5.16666666666667,6.16666666666667,5.66666666666667,7.83333333333333,7,-2.41794624921156,-0.575126265180767
37,4.4,3,7.6,8.6,6.4,5.8,2.8,4,5,0.677232716763218,1.83418833407907
38,3.75,2.375,5.75,2.5,7.75,6,3.875,4.875,6.625,2.28291003786815,-3.45434037279675
39,4.25,4.875,4,3,5.5,6.25,4.5,8,5.375,-3.8593350375833,0.646618687036101
40,7.2,6.2,2.6,3.2,4.2,5,6,6,3,3.31013955937157,2.48735532890351
